,ano,mes,previsao
0,2026,jan,0.6633500000000003
1,2026,feb,0.7027066666666677
2,2026,mar,0.6751366666666669
3,2026,apr,0.8116933333333378
4,2026,may,0.6545933333333309
5,2026,jun,0.6041933333333276
6,2026,jul,0.795983333333325
7,2026,ago,0.762123333333335
8,2026,set,0.8229966666666684
9,2026,nov,0.5516499999999986
10,2026,dez,0.5167799999999971
11,2027,jan,0.6644785714285715
12,2027,feb,0.6927895238095232
13,2027,mar,0.6613423809523802
14,2027,apr,0.8329819047619083
15,2027,may,0.6285247619047638
16,2027,jun,0.565103333333326
17,2027,jul,0.8317476190476043
18,2027,ago,0.7978133333333375
19,2027,set,0.8745766666666697
20,2027,nov,0.542544999999997
21,2027,dez,0.462600000000009
