data,ndvi
2020-01-01,6159
2020-01-17,6626
2020-02-02,7893
2020-02-18,8439
2020-03-05,6147
2020-03-21,8661
2020-04-06,8481
2020-04-22,5803
2020-05-08,8464
2020-05-24,8373
2020-06-09,8243
2020-06-25,8081
2020-07-11,4460
2020-07-27,8082
2020-08-12,8352
2020-08-28,3738
2020-09-13,3657
2020-09-29,3356
2020-10-15,7867
2020-10-31,8180
2020-11-16,8358
2020-12-02,8413
2020-12-18,8120
2021-01-01,8837
2021-01-17,6122
2021-02-02,8171
2021-02-18,6099
2021-03-06,8741
2021-03-22,5484
2021-04-07,8652
2021-04-23,5309
2021-05-09,8595
2021-05-25,8476
2021-06-10,8085
2021-06-26,8224
2021-07-12,3855
2021-07-28,8220
2021-08-13,3633
2021-08-29,8245
2021-09-14,8080
2021-09-30,8546
2021-10-16,7843
2021-11-01,4570
2021-11-17,5426
2021-12-03,8489
2021-12-19,7996
2022-01-01,2408
2022-01-17,7893
2022-02-02,7827
2022-02-18,8351
2022-03-06,8805
2022-03-22,5667
2022-04-07,3082
2022-04-23,8807
2022-05-09,5724
2022-05-25,8330
2022-06-10,8356
2022-06-26,8367
2022-07-12,8406
2022-07-28,4331
2022-08-13,4603
2022-08-29,8019
2022-09-14,6356
2022-09-30,5927
2022-10-16,7794
2022-11-01,3906
2022-11-17,3886
2022-12-03,7590
2022-12-19,8232
2023-01-01,4449
2023-01-17,8577
2023-02-02,4968
2023-02-18,5411
2023-03-06,8784
2023-03-22,7447
2023-04-07,8264
2023-04-23,8475
2023-05-09,8554
2023-05-25,5388
2023-06-10,8533
2023-06-26,5223
2023-07-12,5045
2023-07-28,8366
2023-08-13,4140
2023-08-29,5950
2023-09-14,8068
2023-09-30,3627
2023-10-16,8485
2023-11-01,3258
2023-11-17,3741
2023-12-03,5285
2023-12-19,5020
2024-01-01,8394
2024-01-17,8315
2024-02-02,7975
2024-02-18,8689
2024-03-05,6877
2024-03-21,8158
2024-04-06,8514
2024-04-22,8781
2024-05-08,4554
2024-05-24,5805
2024-06-09,8551
2024-06-25,2896
2024-07-11,8238
2024-07-27,4444
2024-08-12,8233
2024-08-28,4430
2024-09-13,8130
2024-09-29,4749
2024-10-15,8208
2024-10-31,5760
2024-11-16,8652
2024-12-02,6001
2024-12-18,8204
2025-01-01,5826
2025-01-17,5522
2025-02-02,8434
2025-02-18,6233
2025-03-06,8305
2025-03-22,3734
2025-04-07,5999
2025-04-23,8295
2025-05-09,8601
2025-05-25,8636
2025-06-10,8479
2025-06-26,5883
2025-07-12,8445
2025-07-28,8605
2025-08-13,8647
2025-08-29,8475
2025-09-14,8300
